vessel_type,vessel_number,course_diff_std,course_diff_mad,distance_to_shore_mad,distance_to_shore_max,distance_to_shore_median,distance_to_shore_std,speed_std,speed_median,speed_mad,time_diff_median,time_diff_mad,time_diff_std,time_duration,thermo_depth_median,thermo_depth_mad,thermo_depth_std,east_water_velocity_std,east_water_velocity_median,east_water_velocity_mad,water_surface_elevation_median,water_surface_elevation_std,water_surface_elevation_mad,oceanic_depth_std,oceanic_depth_mad,oceanic_depth_median,sog_std,sog_mad,sog_median,choloro_conc_mad,choloro_conc_std,choloro_conc_median,course_std,course_mad,ratio_in_eez,north_water_velocity_std,north_water_velocity_mad,north_water_velocity_median,sea_temperature_std,sea_temperature_mad,sea_temperature_median,distance_to_port_max,distance_to_port_mad,distance_to_port_median,distance_to_port_std,salinity_mad,salinity_std,salinity_median,distance_max,distance_std,distance_median,distance_mad
trawler,100047,137.09001716666046,96.18873021289892,6.880582726920585,34.33872877966275,5.8544688181764295,8.203321857978674,4.376211106788774,3.8487215900053786,3.906749033666892,971.0,17738.854446839552,38763.19494639996,7809819,200.2,76.89888309218705,88.44716774465857,0.1297103694866611,0.02,0.1027627565527581,-0.24,0.05188187024476157,0.04202927022245998,28.18562563543653,21.38367098309916,-14.0,3.6067780522764568,3.341144420293601,4.9,0.06891953721934213,0.07228237593004948,0.2045,100.82335941002823,85.17137697915231,1.0,0.12100583509595599,0.1009436061579405,0.1,0.30067742459367786,0.2355769641416169,9.8,36.257485375958815,7.542675168502225,6.245696247351215,8.980245075668078,0.021564929679089663,0.032861306618386814,34.300000000000004,16.07529767750705,2.0865705404106354,1.895712872422539,1.4489978989616816
longliner,100070,80.81169518606447,34.267615683643925,14.033471401200405,71.13317456329219,32.00992793677384,17.323016453911272,3.936306351486576,10.488712396146527,3.1867368772460725,924.0,29753.27198319893,82244.50762605692,7221567,145.70000000000005,84.91229181074684,114.41199187116463,0.2532996805933396,0.17,0.20053778654772256,-0.24,0.14341339096236838,0.11623422520287548,78.00122371769501,67.49120925835454,-51.0,2.6289279890915864,1.7504317646834897,9.1,0.010639679206136706,0.01475046735459917,0.1016,109.55253598236652,90.51044945644662,1.0,0.3595195014717961,0.30461268074792675,0.18,0.8881007099578611,0.7298339561827053,14.8,149.8930919193603,23.053441450848762,56.79035364557208,31.64330183553907,0.14671116497154588,0.1669675171853209,35.2,94.8974698403097,9.314277927508074,2.6769382854949013,3.239244182012205
seiner,100080,146.32989188461,99.14802177711292,110.82790012216068,631.7774333389468,159.34998602644276,128.2409506322615,8.494915040129618,0.964484106195646,7.856271593868582,10.0,1102.094698227588,3393.285727975516,7931258,133.5,16.60146382509302,21.46118673509216,0.3269634645845152,-0.24,0.2081838944271542,0.64,0.04479864794037393,0.03442284611677243,458.06487484306456,406.09611378517485,-1107.0,6.730289598327047,6.604131554710852,6.3,0.0067608890252428035,0.02672181053472855,0.18473439885496185,113.78969788697857,99.37706103414541,0.9758303189740216,0.19082790797035,0.15392580204702133,-0.02,0.5640965659183651,0.4270700513999128,29.9,1127.9884474641824,250.48495145929328,387.3194598144335,302.30407319069235,0.2646954355367584,0.3070780648561336,34.9,196.97536228701526,8.40612096045377,0.004980630594648447,1.8578143481382976
other,100093,148.01518191752982,109.36875512221569,434.9955493352565,2012.0599360873832,1.4421274316364383,558.4126693359264,3.8425295588314152,0.11334729512989725,3.558293396747929,140.0,1835.7247129252924,33541.373152825654,7862893,151.9,61.20490821688553,99.85769751066016,0.15892022051571011,-0.08,0.12111785361276448,0.51,0.269238528244549,0.24248468230712225,545.9182917587774,494.16433002360685,-38.0,3.394987796233052,3.2707400110836677,0.0,0.031392231886317075,0.21570638135303746,0.37885917431192656,103.59668513118106,87.89214664672664,0.7443228230681261,0.12897152983191526,0.10032419933241414,-0.11,6.637544362044027,6.0100881474803165,23.6,2049.166927132792,442.64627298061475,2.2391590153044105,568.4173128227387,0.5359081963072168,0.5905734265352851,35.6,149.74534611183813,4.6423017264675455,0.0014808433751468714,1.2069230326911526
trawler,100144,146.88499144629557,113.98162079230768,2.2329007198661266,25.517174052877692,1.2030481815945466,3.018273757742545,2.638734364808537,0.021341594522623842,1.8525510563879035,425.0,327.8321118919625,1033.7833438809994,7947947,165.5,14.050202049189926,15.291642164830193,0.13462602438811455,0.34,0.09545661685926124,-1.79,0.06916366073183365,0.05396067541306287,1.0244875860376133,0.8714320138257402,1.0,1.919630991750428,1.6193662127037,0.0,0.09832810794531628,0.2634255808971645,1.3859131588738682,108.88215319203348,91.6975202281084,1.0,0.14443275374552064,0.10818006155361293,0.12,0.3307520779128772,0.2700885937915448,-1.3,50.01358778247069,8.106264239621757,1.826705455279452,10.064321360555171,0.08010542787210125,0.0927564526204388,34.0,56.056868717654496,0.6303268566010217,0.0018762976743491547,0.22196907717711176
longliner,100161,155.9121389517353,127.88827019422631,67.02110225078529,474.5293693475448,1.881928566169503,105.91580138817804,3.2752227906033213,0.007955512083300684,2.126093477492567,786.0,3780.729458646292,42280.42128993285,7867393,385.8,63.36493476320159,90.49153451002084,0.18543386238943568,0.12,0.16614940072570114,-0.09,0.035837735836339105,0.03214677672286157,358.12676530585173,232.67604947852416,-5.0,2.8682893856187444,1.9559571514000365,0.0,0.10922877967443703,0.12136909302589725,0.2654,110.40088465053093,95.92668047963998,0.9699425869638636,0.11402450417606814,0.09325814674410247,-0.09,0.5713628127752864,0.5010657174359777,11.8,504.4927900216245,57.19164032969522,74.86178354188286,92.11788916134479,0.06814920660013275,0.09193621080142242,34.7,102.12490576436804,5.535514058801044,0.0013137707096447498,1.7522421287598124
trawler,100175,98.84734280993591,53.92182506904603,20.252067916427336,238.70310585996086,18.77266822315462,35.55871723476459,3.809609860723607,3.257179685160821,3.0722386679581377,932.0,1846.2000348068218,8543.474666056942,7872127,173.0,12.48083346983066,17.48102234773407,0.09694444580068014,0.14,0.08060634917384983,-1.59,0.05560553179186591,0.04100948281157225,17.503491045317208,10.636120779672817,-19.0,3.1977045940184774,2.6774202821400053,3.1,0.2189718094087819,0.3057911882039869,0.9640444673337256,102.40523347884752,89.72056154335372,1.0,0.1304403744662606,0.1009721545422903,0.07,0.3953209095434261,0.2769829753690547,0.1,253.0064581640184,21.16948847787288,39.831098702970145,36.729333467451184,0.052405315206486634,0.06649671301894547,33.9,152.52550769612895,4.330222282567884,0.5838244736392759,1.047967571302093
trawler,100204,154.3901967053136,130.10695040368677,44.55359244357008,321.6805009750032,2.986221238005001,74.94018208291355,3.3199007280070574,0.0030147696651281826,2.0468222947685493,952.0,4462.395877040591,11697.35648912299,7904104,191.0,47.98153911115264,60.96131785830789,0.18342748400097972,0.23,0.14450285983675826,-0.24,0.26408808968966696,0.16265002735147546,193.1590507381224,72.57186060529554,-5.0,3.1619854977859214,2.090827446344931,0.0,0.05265944373310569,0.16263723996196336,0.4040816666666666,105.43863999973458,90.3378716403363,1.0,0.20544820448705184,0.17391390597103748,-0.03,1.9281584048291989,1.143775130249676,9.7,354.58944322863204,46.8504272454711,8.344078839415975,78.77717426807044,0.0684083080721556,0.1144645705715527,34.300000000000004,326.1264245746595,21.708789665897843,0.0007980766295861609,5.9916373190153935
other,100216,137.82273726347515,102.7563317112346,2.640403184014215,27.893233862363786,1.2878359212991188,3.3405613177154034,3.670155215080608,1.155724115275915,3.311548526551531,963.0,6889.173082063125,26966.86768292269,6720894,178.0,51.78938870286362,87.28270617095042,0.2036224636315089,0.37,0.16757764182672674,-1.33,0.035890856035634675,0.028952420019452217,10.573012831869397,10.179318652599694,11.0,3.5149051019109345,3.3225935302808685,3.8,0.0839414931231348,0.10936147915794546,0.5370593253968254,106.67415718797658,93.88360782158233,1.0,0.12752181116746875,0.10465377647766336,-0.04,0.2364871956366649,0.19394828085441276,1.8,33.49172773121329,4.378493700176161,2.3738815558290374,5.406159285745156,7.105427357601002e-15,0.0,33.9,16.193016278800048,1.5858754043521368,0.302688918004316,1.1111740865073036
trawler,100262,117.07553990803278,64.28561463197435,12.753166427094236,68.99808058191846,31.49847463954028,14.738415382305448,4.389938957554956,3.663762024657823,3.46241731558516,903.0,2533.061854748365,12979.194198927242,7909598,222.4,87.03494732621628,100.52681729753016,0.16520672268197778,0.18,0.12899047634485758,-0.13,0.05267627091217647,0.04364257963628203,28.186859051023394,21.9954741045786,-50.0,3.615325058476644,3.0517737209324123,3.3,0.017590994397189558,0.02140860483548306,0.1065,112.07706605371322,98.94389964169382,1.0,0.15781672109332145,0.13083140184728667,0.01,0.5935463865422275,0.44264860496093256,13.4,68.79720786661838,8.202620949626679,34.71458708426705,9.494867720481489,0.1544991488459579,0.1909064401788783,34.7,40.997809157011524,1.4167861915672757,0.5823908836550706,0.8928588814299657
